date,cases,deaths,NYScases,NYSdeaths,NYCcases,NYCdeaths
1/21/20,1,0,0,0,0,0
1/22/20,1,0,0,0,0,0
1/23/20,1,0,0,0,0,0
1/24/20,2,0,0,0,0,0
1/25/20,3,0,0,0,0,0
1/26/20,5,0,0,0,0,0
1/27/20,5,0,0,0,0,0
1/28/20,5,0,0,0,0,0
1/29/20,5,0,0,0,0,0
1/30/20,6,0,0,0,0,0
1/31/20,7,0,0,0,0,0
2/1/20,8,0,0,0,0,0
2/2/20,11,0,0,0,0,0
2/3/20,11,0,0,0,0,0
2/4/20,11,0,0,0,0,0
2/5/20,12,0,0,0,0,0
2/6/20,12,0,0,0,0,0
2/7/20,12,0,0,0,0,0
2/8/20,12,0,0,0,0,0
2/9/20,12,0,0,0,0,0
2/10/20,13,0,0,0,0,0
2/11/20,13,0,0,0,0,0
2/12/20,14,0,0,0,0,0
2/13/20,15,0,0,0,0,0
2/14/20,15,0,0,0,0,0
2/15/20,15,0,0,0,0,0
2/16/20,15,0,0,0,0,0
2/17/20,25,0,0,0,0,0
2/18/20,25,0,0,0,0,0
2/19/20,25,0,0,0,0,0
2/20/20,27,0,0,0,0,0
2/21/20,30,0,0,0,0,0
2/22/20,30,0,0,0,0,0
2/23/20,30,0,0,0,0,0
2/24/20,43,0,0,0,0,0
2/25/20,45,0,0,0,0,0
2/26/20,60,0,0,0,0,0
2/27/20,60,0,0,0,0,0
2/28/20,65,0,0,0,0,0
2/29/20,70,1,0,0,0,0
3/1/20,88,3,1,0,1,0
3/2/20,104,6,1,0,1,0
3/3/20,125,10,2,0,2,0
3/4/20,161,12,11,0,2,0
3/5/20,228,12,22,0,4,0
3/6/20,311,15,44,0,5,0
3/7/20,428,19,89,0,12,0
3/8/20,547,22,106,0,14,0
3/9/20,748,26,142,0,20,0
3/10/20,1018,31,173,0,37,0
3/11/20,1263,37,217,0,52,0
3/12/20,1668,43,326,0,96,0
3/13/20,2224,50,421,0,155,0
3/14/20,2898,60,610,2,269,1
3/15/20,3600,68,732,6,330,5
3/16/20,4507,91,950,10,464,7
3/17/20,5906,117,1375,18,646,11
3/18/20,8350,162,2387,32,1344,25
3/19/20,12393,212,4161,39,2477,31
3/20/20,18003,277,7113,68,4419,54
3/21/20,24528,360,10371,95,6226,75
3/22/20,33066,458,15188,142,9065,119
3/23/20,43505,579,20899,183,12329,155
3/24/20,53929,774,25703,256,14943,230
3/25/20,68535,1044,33116,375,20061,330
3/26/20,85563,1350,39057,502,23182,435
3/27/20,102835,1764,44745,645,25509,560
3/28/20,123730,2294,53516,935,30919,825
3/29/20,142406,2710,59783,1180,33983,991
3/30/20,163873,3365,67462,1512,38375,1202
3/31/20,188425,4301,76211,1929,43518,1475
4/1/20,215176,5329,84363,2415,47914,1848
4/2/20,244636,6558,92971,2963,52400,2152
4/3/20,277279,7918,103651,3716,57941,2648
4/4/20,312519,9486,115963,4535,64274,3221
4/5/20,337984,10852,124085,5335,68726,3646
4/6/20,367599,12360,132061,6130,73553,4857
4/7/20,399388,14614,141703,7185,78498,5631
4/8/20,431213,16716,151271,8138,83673,6441
